UserID,Item33PC2,Item28PC2,Item25PC2,Item34PC2,Item37PC2,Item30PC2,Item29VU,Item26VU,Item31VU,Item36VU,Item35VU,Item24IE,Item08IE,Item21IE,Item09IE,Item12IE,Item11IE,Item05PC1,Item13PC1,Item18PC1,Item03PC1
1,7,6,7,1,6,7,7,6,6,6,6,7,6,7,7,6,5,2,2,3,5
2,3,3,3,2,4,3,3,6,4,5,5,5,3,4,3,5,5,1,1,1,1
3,5,5,3,2,5,1,3,3,3,3,3,5,3,5,5,5,5,1,1,1,1
4,5,7,6,1,6,4,5,4,7,7,5,7,7,7,7,5,5,1,2,1,4
5,2,3,6,2,2,2,2,3,3,3,2,4,3,3,3,3,3,5,5,5,5
6,4,4,3,2,7,3,7,7,5,7,6,5,7,6,7,4,4,1,1,1,1
7,6,7,6,1,4,4,6,6,6,5,2,2,5,3,5,3,6,1,1,1,1
8,4,5,5,1,4,4,5,7,5,6,5,4,4,4,4,3,6,1,1,1,2
9,5,5,4,4,4,4,6,5,6,5,5,1,2,2,1,1,2,1,3,3,7
10,4,4,4,3,5,4,5,4,5,5,5,5,4,5,4,5,3,1,1,1,3
11,6,7,6,1,7,4,6,6,6,7,6,6,5,6,6,6,6,1,1,1,1
12,5,7,4,1,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4
13,4,4,3,3,3,3,5,5,5,5,5,3,2,4,2,3,1,2,2,4,6
14,1,1,1,7,1,2,6,7,6,6,6,6,6,7,1,6,6,1,1,1,1
15,4,2,1,3,4,7,6,7,6,6,6,1,3,3,2,1,1,2,4,3,7
16,6,5,6,2,6,4,7,7,7,7,6,7,6,6,7,6,2,1,1,1,1
17,4,5,5,2,4,3,5,3,5,5,4,6,4,5,5,7,7,1,1,1,1
18,7,7,6,1,7,4,2,3,3,2,6,4,5,4,5,6,4,1,1,1,1
19,2,3,4,7,4,2,7,7,6,7,7,4,7,7,7,4,7,1,1,1,1
21,3,2,4,3,4,2,2,4,3,3,3,3,3,3,2,4,3,2,1,3,2
22,6,7,6,1,6,4,5,7,6,5,6,5,6,5,5,4,4,1,2,1,1
23,4,6,4,1,4,1,2,3,4,4,1,5,6,5,7,7,1,1,1,1,2
24,1,1,2,4,3,1,6,7,4,7,6,7,7,3,3,5,1,7,7,7,7
25,6,6,5,2,6,6,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1
26,1,1,2,6,1,1,3,4,4,4,3,5,5,5,4,6,5,2,4,3,4
27,1,1,1,7,4,1,4,4,4,6,3,1,1,1,1,7,3,4,3,4,5
28,4,4,1,5,5,5,7,7,4,5,5,1,2,2,2,1,1,1,1,1,1
29,5,7,5,1,5,4,3,3,3,3,3,5,4,4,5,6,3,1,2,1,1
30,4,5,4,3,5,4,6,7,6,6,6,5,6,6,6,7,7,1,1,1,1
31,2,1,2,4,3,1,6,5,5,6,5,3,3,2,2,2,3,5,6,2,7
32,3,7,3,3,4,4,4,3,5,4,3,5,5,2,3,3,5,2,3,2,4
33,2,3,3,3,1,1,4,4,5,6,2,6,6,6,5,6,7,1,2,2,1
34,6,6,6,1,7,4,5,7,6,6,5,6,6,5,5,6,4,1,1,1,1
35,2,2,3,2,3,2,2,1,3,3,2,3,3,3,3,3,3,1,2,1,1
36,7,7,7,1,7,7,5,5,5,5,5,6,5,6,6,6,6,1,1,1,1
37,4,4,5,2,3,3,4,3,4,3,3,4,4,4,3,4,5,1,1,1,1
38,2,5,3,3,5,1,6,6,5,6,6,7,7,6,7,6,4,1,1,1,1
39,4,4,5,1,4,4,7,5,7,5,7,4,4,3,3,3,5,7,6,4,7
40,7,7,6,1,7,5,7,6,6,7,7,5,5,5,5,7,5,1,1,1,1
41,5,4,4,3,5,3,5,6,5,4,5,5,4,5,5,6,3,1,1,3,1
42,3,2,4,3,4,2,2,4,3,3,3,3,3,3,2,4,3,2,1,3,2
43,5,6,6,3,7,6,6,7,6,6,6,7,6,7,6,7,7,1,1,1,1
44,7,7,7,1,5,7,5,5,5,4,1,4,2,3,4,5,3,1,3,1,3
45,4,4,4,1,3,1,3,3,4,6,2,4,4,4,4,5,4,1,1,1,1
46,6,5,6,1,6,5,7,6,7,7,7,7,6,5,6,5,6,1,1,1,1
47,6,5,5,1,6,4,7,7,7,7,7,7,7,7,7,7,7,1,1,2,1
48,7,7,7,1,7,4,7,7,6,5,7,7,3,6,7,7,3,1,1,1,1
49,4,5,4,2,5,4,2,1,2,2,2,2,2,2,3,2,1,1,1,1,1
50,6,6,6,2,7,4,6,5,7,6,6,6,5,6,5,7,7,1,1,1,1
